'em
'tis
'un
-'s
-acy
-age
-al
-ally
-an
-ance
-ancy
-ant
-arian
-ary
-ate
-ation
-ative
-ator
-bellied
-cide
-cracy
-crat
-cy
-d
-dom
-ectomy
-ed
-ee
-eer
-en
-ence
-ency
-ent
-er
-ery
-ese
-esque
-ess
-est
-ette
-ey
-fest
-fold
-ful
-fy
-graphy
-hood
-ial
-ian
-iana
-ibility
-ible
-ic
-ics
-ide
-ie
-ify
-in
-ing
-ion
-ise
-ish
-ism
-ist
-ite
-ition
-itis
-ity
-ive
-ize
-ment
-most
-ness
-oid
-ology
-or
-ory
-ous
-phile
-philia
-phobe
-ry
-s'
-scape
-ship
-sion
-some
-ster
-th
-tion
-ure
-ward
-wards
-ways
-wise
-xion
-y
A
A-frame
A-road
AA
AAA
ABC
ABS
AC
ACAS
ACT
AD
ADC
AFL-CIO
AGM
AI
AM
AOB
APR
ASA
ASCII
ASEAN
ATM
ATV
AV
AWOL
Aberdonian
Abominable
Academy
Achilles
Achilles'
Adam
Adam's
Admiral
Advent
Afghan
African
Afrikaans
Afrikaner
Afro
Afro-
Aids
Airbus
Alcoholics
Allah
Allen
Alma
Alsatian
Alzheimer's
Amazon
Amerasian
American
Americana
Americanism
Americanize
Amerindian
Anglican
Anglicize
Anglo-
Anglo-Catholic
Anglo-Saxon
Anglophile
Antarctic
Antichrist
Antipodes
Apex
April
Aquarius
Arab
Arabian
Arabic
Arctic
Aries
Armageddon
Aryan
Ascension
Ash
Asian
Asiatic
Assoc.
Association
Asst
AstroTurf
Attorney-General
August
Aussie
Australian
Autocue
Ave.
B
B-road
BA
BASIC
BBC
BBQ
BC
BCE
BEd
BLT
BO
BS
BSE
BST
BSc
BTEC
Baby
Babygro
Bakelite
Band-Aid
Baptist
Bart
Bauhaus
Beaujolais
Bedouin
Belisha
Benedictine
Bengali
Bermuda
Big
Biro
Black
Blu-tack
Blvd.
Bob
Boer
Bonfire
Bordeaux
Boston
Boxing
Boy
Br.
Brahman
Braille
Brie
Brig.
Brit
British
Britisher
Briton
Britpop
Bronx
Bros
Brummie
Brussels
Buddhism
Bulldog
Bunsen
Burberry
Bushman
Byzantine
C
C-section
C.
C.-in-C.
CAD
CAL
CALL
CAM
CAP
CB
CBE
CBI
CBS
CCTV
CD
CD-ROM
CE
CEO
CFC
CIA
CID
CJD
CNN
CO
COD
CPI
CPU
CS
CST
CSYS
CV
Caesarean
Cajun
Calor
Calvados
Calvinist
Camembert
Cancer
Cantab
Capricorn
Capt.
Casanova
Catherine
Catholic
Catseye
Caucasian
Cdr
Cellophane
Celsius
Celt
Celtic
ChB
Chamber
Chancellor
Chanukkah
Charleston
Cheddar
Chianti
Chicano
Chinese
Chink
Christ
Christendom
Christian
Christianity
Christmas
Christmassy
Christmastime
Chutes
Cinderella
Citizens'
Civvy
Cllr
Co.
Coca-Cola
Coke
Col.
Colonel
Commons
Con
Congregationalism
Congressman
Corinthian
Cornish
Corp.
Coventry
Cpl
Creole
Creutzfeldt-Jakob
Crown
Ct
Cupid
D
D-Day
DA
DAT
DC
DDT
DIY
DJ
DNA
DOD
DPP
DPhil
DSS
DST
DTI
DTP
DTs
DUI
DVD
DWI
Dalmatian
Damocles
Danish
Darby
Day-Glo
December
Dem.
Denver
Dept
Det
Deutschmark
DfEE
Dickensian
Dictaphone
Director
Div.
Divali
Diwali
Dixieland
DoH
Dobermann
Dolby
Dominican
Don
Doric
Down's
Downing
Dr
Druid
Dumpster
Dundee
Durex
Dutch
E
E-number
ECG
EEG
EFL
EFTA
EKG
ELT
EMU
ER
ERM
ESL
ESOL
ESP
EU
Easter
Eastertime
Edam
